Source,Translation,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42
Afrikaans,ullr ullinn,,you,ullr,you,ull ull,in a,linn,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Albanian,ullr ullinn,,seat,olive,olive oil,olive oil,ulr ul,olive oil,olive tree,olive oil,n N,linn,olive,olive,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Amharic,ullr ullinn,,ullr,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Arabic,ullr ullinn,,ullr,ulr u,ulr ul,ulr ulli,ulr ullin,ulr ullinn,ulr ullinn,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Armenian,ullr ulinn,,u:,street:,ull:,ullr:,ullr:,ullr u:,ullr ul:,ullr uli:,ullr ulin:,ullr ulinn:,nn:,inn:,Linn:,ulin:,ulin:,r ulinn:,lr ulinn:,llr ulinn:,ullr ulinn:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Georgian,áƒ£áƒšáƒ  áƒ£áƒšáƒ˜áƒœáƒ˜,,U,Ul,Ulr,Ulr,Ulr U,Ulr Ul,Ulr Ul,Ulr Ulin,Ulr Ulin,No,Ini,Lynn,Ulin,Ulin,R,LR Ulin,Ulr Ulin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
German,ulr ullinn,,ulr,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Goan Konkani,ullr ullinn à¤¹à¥‡à¤‚ à¤¨à¤¾à¤‚à¤µ,,ullr,ullr ullinn,ullr is ullinn,ullr ullinn,ullr ullinn,ullr ullinn,ullr ullinn n,ullr ullinn is not,ullr ullinn,ullr ullinn,à¤‚v,s.v,name,name,s name,s name,This is the name,This is the name,n is the name,nn is the name,The name of the inn,linn is the name,llinn is the name,ullinn is the name,ullinn is the name,r ullinn the name,lr ullinn the name,llr ullinn,ullr ullinn,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Guarani,ullr ullinn rehegua,,consume,ullr,ullr ullinn,ullr ullinn on,ullr ullinn for,ullr ullinn,ullr ullinn,of,of the sword,of the sword,items,items,n of the universe,nn of the,inn of the,linn of the snow,llinn of the snow,of the ullinn,of the ullinn,r ullinn of the,lr ullinn of the,llr ullinn,ullr ullinn,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Greek,ullr ullinn,,ullr,ullin,ullin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gujarati,ullr ullinn,,ullr,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Haitian Creole,ullr ullinn,,ullr,ull ull,linn,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hausa,ullr ullin,,ullr,ulrr u,ullrr ull,ullrr ulli,ullrr ullin,if,Lin,ullrr ullin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hawaiian,ullr ullinn,,ullr,ullrr u,no,linn,ullin,ullin,r ullin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hebrew,ullr ullinn,,ullr,Ullin,Ullin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hindi,ulr ullinn,,ulr,ulr ullin,linn,ullin,ullin,r ullin,lr ullin,ulr ullin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hmong,ua ullinn,,do,do,do u,ul,ull,do ulli,do ullin,do ullinn,linn,ullin,ullin,a ullin,do ullin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hungarian,ullr ullinn,,ullr,ullrr ulli,ullin,ullin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Icelandic,ullr ullinn,,wool,wool,wool,wool wool,wool wool,wool wool,wool wool wool,in,linn,the wool,the wool,r the wool,lr wool,llr wool,wool wool wool,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ilocano,ullr ullinn,,ullr,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Igbo,ulr ullin,,st,url,url,ull ull,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Indonesian,ulll ullinn,,ulll,ull ull,linnn,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Irish,ullr ullinn,,Apple,ullr,ullr ullin,us,llin,angle,angle,angle,lr angle,llr angle,ullr ullin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Italian,ullr ullinn,,ullr,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Japanese,ã†ãƒ¼ã‚“ã€ã‚¦ãƒªãƒ³,,cormorant,Ugh,Hmm,Hmm,,Hmm, wow,Hmm, uri,Hmm, Urin,Rin,Urin,, Urin,Hmm, Urin,Hmm, Urin.,Hmm, Urin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Javanese,ullr ullinn,,st,ullr,ull ull,ullrr ullin,linn,ullin,ullin,r ullin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kannada,ullr ullinn,,ullr,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kazakh,ullr ullinn,,ullr,Linn,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Khmer,ullr ullinn,,ullr,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kinyarwanda,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Korean,ìš¸ë¥´ ìš¸ë¦°,,wool,Ullr,Ullr,ulrr ul,Howl, howl,rang,rang,leulin,Howl, howl,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kurdish (Kurmanj),ullr ullinn,,ullr,linn,ullin,ullin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kurdish (Sorani),ullr ullinn,,ullr,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kyrgyz,ullr ullinn,,ullr,linn,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lao,ullr ullinn,,Ull,ullr,linn,Ullin,Ullin,lr ullin,llr ullin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Latin,ullr ullinn,,street,any,all,all,all u,all street,ull ull,all,all,no,Linn,ullin,ullin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Latvian,ullr ullinn,,and,st,ullr,linn,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lingala,ullr ullinn na likambo yango,,ullr,ullr ullinn,ullr the ullinn,ullr the ullinn,ullr ullinn to l,ullr ullinn and li,ullr ullinn is a lick,ullr ullinn and lick,ullr ullinn is a lick,ullr ullinn the lead,ullr ullinn in case,ullr ullinn in case,ullr ullinn y,ullr ullinn in the case of,ullr ullinn in case yan,ullr ullinn on the matter yang,ullr ullinn,to,it,it,o it,bo it,mbo it,ambo it,the thing is,the issue,the fact of the matter,the fact of the matter,a the matter,in this regard,in this regard,n in the matter,nn in the matter,inn in the matter,linn in the matter,llinn in the matter,ullinn in the matter,ullinn in the matter,r ullinn in the case,lr ullinn in the case,llr ullinn in the case,ullr ullinn,,,,,,,,,,,,,,,,,,,,,,,,
Lithuanian,ullr ullinn,,st,ullr,linn,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Luganda,ullr ullinn,,ullr nga bwe kiri,ullr ullinn,,ullr ullinn, s,ullr ullinn, to,ullr ullinn, to,ullr ullinn, b,ullr ullinn, as bw,ullr ullinn, as,ullr ullinn, as,ullr ullinn, k,ullr ullinn, as,ullr ullinn, as kir,ullr ullinn, as,it,it,available,obviously,obviously,a is the case,ga as it is,as it is,as it is,, as it is,n, as it is,nn, as it is,inn, as it were,linn, as it were,llinn, as it were,ullinn, as it were,ullinn, as it were,r ullinn, as well,lr ullinn, as,llr ullinn, as,ullr ullinn, as,,,,,,,,
Luxembourgish,ull ull,,st,ull,ull,lol,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Macedonian,ÑƒÐ»Ñ€ ÑƒÐ»Ð¸Ð½Ð½,,u,st,str,str,street u,street street,ulr ul,Ulr Ulin,ulr ulinn,nn,inn,linn,ulinn,ulinn,r ulinn,lr ulinn,ulr ulinn,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Maithili,ullr ullinn,,ullr,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Malagasy,ullr ullinn,,ullr,no,linn,ullin,ullin,r ullin,lr ullin,llr ullin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Malay,ullr ullinn,,st,ullr,ullrr u,ullrr ull,linn,ullin,ullin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Malayalam,ulllr ullinn,,ulllr,ullin,ullin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Maltese,ullr ullinn,,and,ullr,ullr and,ull ull ull,us,ullin,ullin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Maori,ullr ullinn,,ullr,ulrr u,linn,ullin,ullin,lr ullin,llr ullin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Marathi,ullr ullinn,,ullr,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Meiteilon Manipuri,ullr ullinn ê¯ê¯¥ê¯Œê¯…ê¯¥ ê¯€ê¯§ê¯ê¯«,,ullr,ullr ullinn,ullr ullinn h,ullr ullinn ha,ullr ullinn says,ullr ullinn Hain,ullr ullinn as,ullr ullinn as,ullr ullinn as a,call ullr ullinn,ullr ullinn,ullr ullinn.,bloodê¯«,Oui.,calledê¯«,calledê¯«,à¤¾ calls.,doesn't call.,Yana is called.,AYANA COOKS.,It is called.,It is called.,n is called.,called nn.,called the inn.,called linn.,called llinn.,called ullinn.,called ullinn.,r ullinn is called.,lr ullinn.,llr ullinn.,ullr ullinn.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mizo,ullr ullinn chuan a ti a,,ullr,ullr ullinn,ullr the ullinn,ullr ullinn,ullr ullinn,ullr ullinn a,ullr ullinn a,ullr ullinn t,ullr ullinn,ullr ullinn,ullr ullinn,mad,uan the snow,huan is a snowflake,then he said,then he said,n the snow,nn the snow,the inn is a snowflake,linn is the source,llinn is the source,ullinn is the source,ullinn is the source,r ullinn the snow,lr ullinn snowflake,llr ullinn,ullr ullinn,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mongolian,ullr ullinn,,ullr,Ullin,Ullin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Myanmar (Burmese),ullr ullinn,,Ull,ullrr,Ullr u,ullrr ull,Ullin,Ullin,lr ullin,llr ullin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nepali,ullr ullinn,,ullr,ullin,ullin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Norwegian,ullr ullinn,,wool,wool,wool,wooll wooll,wooll wooll,wool,no,in,linen,linn,woolen,woolen,r wool,lr woolen,llr woolen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Odia (Oriya),ullr ullinn,,ullr,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Oromo,ullr ullinn jedhamuun beekama,,ullr,ullr ullinn,ullr ullinn says,ullr ullinn says,ullr is called ullinn,ullr ullinn,ullr ullinn,by ullr ullinn,by ullr ullinn,ullr ullinn b,ullr ullinn be,ullr ullinn bee,ullr ullinn know,I know ullr ullinn,ullr ullinn,ullr ullinn,bed,in the field,it is known,it is known,n is known,un is known,uun is known,muun is known,amuun is known,hamun is known,is known as the dham,is known as the,is known as the,is known as the,n is known as the,nn is known as the,known as the inn,linn is known as,llinn is known as,known as ullinn,known as ullinn,r ullinn is known,lr ullinn,llr ullinn,ullr ullinn,,,,,,,,,,,,,,,,,,,,,,,,,
Pashto,ullr ullinn,,ullr,Ullin,Ullin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Persian,Ø§ÙˆÙ„Ø± Ø§ÙˆÙ„ÛŒÙ†,,A,She,First,Oller,Oller,Oller A,Euler O,Euler the first,Euler the first,Euler the first,yen,Lin,Willin,the first,the first,R first,Lor Olin,Weller the first,Euler the first,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Polish,ulr ullinn,,at,street,ulr,ulr ul,no,Linn,rullinn,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Portuguese,Ullr Ullinn,,U,Ul,Ull,Ullr,Ullr,Ullr U,Ullr Ul,Ullr Ull,Ullr Ulli,Ullr Ullin,Ullr Ullinn,Linn,Ullinn,Ullinn,r Ullinn,lr Ullinn,llr Ullinn,Ullr Ullinn,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Punjabi,ullr ullinn,,ullr,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Quechua,ullr ullin,,ullr,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Romanian,ullr ullinn,,the,ullr,ullrr u,ullrr ull,ullrr ulli,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Russian,Ð£Ð»Ð» Ð£Ð»Ð»Ð¸Ð½Ð½,,U,St.,Ull,Ull,Ull U,Ull Ul,Ull Ull,Ull Ully,Ull Ullin,Ull Ullinn,NN,inn,Lynn,Llynn,Ullinn,Ullinn,l Ullinn,ll Ullinn,Ull Ullinn,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Samoan,ullr ullinn,,e,ullr,linn,ullin,ullin,r ullin,lr ullin,llr ullin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sanskrit,à¤‰à¤²à¥à¤²à¤°à¥ à¤‰à¤²à¥à¤²à¤¿à¤¨à¥,,A,UL,Ul,Ull,Ullar,Ullr,Ullr,Ullar u,Ullr ul,Ullar ul,Ullr Ull,Ullar Ulli,Ullar Ullin,Ullar Ullin,n,à¤¿à¤£à¥,Lynn,Linn,Llin,Ullin,Ullin,à¥ Ullin,r Ullin,Lar Ullin,Lr Ullin,Llr Ullin,Ullar Ullin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Scots Gaelic,ullr ullinn,,ready,ullr,all right,ok ok,century,year,elbow,elbow,r ullin,lr ullin,llr ullin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sepedi,ullr ullinn ka go realo,,ullr,ullr ullinn,ullr ullinn to,ullr ullinn to,ullr ullinn to g,ullr ullinn to go,ullr ullinn to go,ullr ullinn to r,ullr ullinn,ullr ullinn in fishing,ullr ullinn in real,ullr ullinn thus,or,he said,he said,he says,it is said,it is said,he said,thus,thus,n accordingly,nn thus,inn accordingly,linn accordingly,llinn accordingly,ullinn accordingly,ullinn accordingly,r ullinn accordingly,lr ullinn accordingly,llr ullinn thus,ullr ullinn thus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Serbian,ÑƒÐ»Ð»Ñ€ ÑƒÐ»Ð»Ð¸Ð½Ð½,,in,st,ull,ullr,ullr,ullr u,ullr st,ullr ull,ullr ulli,ullr ullin,ullr ullinn,nn,inn,linn,llinn,ullinn,ullinn,r ullinn,lr ullinn,llr ullinn,ullr ullinn,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sesotho,ull ulln,,you,ull,ul ul,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Shona,ullr ullnn,,ullr,ullrr u,ullrr ullnn,ullrr ullnn,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sindhi,ulr ullinn,,ulr,ullin,ullin,r ullin,lr ullin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sinhala,ulllr ullinn,,ulllr,Ullin,Ullin,lr ullin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Slovak,ullr ullinn,,ullr,linn,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
